alpha,serendipity,avg_distance,avg_cf_score,diversity_ild,n_users
0.0,0.6407486080398838,0.8595095885848998,3.081874199914932,0.8266374814814815,5000
0.15,0.6457816239710766,0.8862019087862969,3.072631794538498,0.8347537037037036,5000
0.25,0.646050439424053,0.9064138872611522,3.052235035789013,0.8328807407407408,5000
0.3,0.64469324346614,0.9174457648515701,3.0354883536601065,0.8301366666666669,5000
0.35,0.6419463209525639,0.9292309708964825,3.0127320850372317,0.8257470370370371,5000
0.4,0.6377621728716888,0.9411711483764648,2.9840276803684236,0.8177666666666666,5000
0.5,0.6247574468120142,0.9644159360444544,2.9077705051875116,0.7897866666666666,5000
0.65,0.6007922548082466,0.9884900421416761,2.779623548219204,0.7229144444444445,5000
0.75,0.5846898619343162,0.9976159687507152,2.6949263245534896,0.6808214814814816,5000
0.85,0.5782082277883043,0.9999951048958301,2.6619817048740386,0.6641837037037037,5000
1.0,0.23817595482517764,1.0,1.5610456371903418,0.5303631851851852,5000
